difficulty,class,band,mean_log_energy,mean_gate
easy,low,<300 Hz,0.052542318,0.5672787
easy,low,300-800 Hz,0.007534795,0.541702
easy,low,0.8-2 kHz,0.00040714728,0.5561574
easy,low,2-4 kHz,0.0007092902,0.5585168
easy,low,>4 kHz,0.0014885601,0.5331014
easy,mid,<300 Hz,8.910944e-05,0.55136496
easy,mid,300-800 Hz,0.0027405007,0.5402589
easy,mid,0.8-2 kHz,0.07523574,0.57890713
easy,mid,2-4 kHz,0.0007078804,0.5585163
easy,mid,>4 kHz,0.0014857696,0.5331005
easy,high,<300 Hz,8.927692e-05,0.5513651
easy,high,300-800 Hz,0.0001408207,0.53947616
easy,high,0.8-2 kHz,0.00040531243,0.5561569
easy,high,2-4 kHz,0.052746385,0.5743523
easy,high,>4 kHz,0.034576282,0.54310954
easy,low + high,<300 Hz,0.026238801,0.5593132
easy,low + high,300-800 Hz,0.0029980664,0.5403365
easy,low + high,0.8-2 kHz,0.00040477375,0.55615664
easy,low + high,2-4 kHz,0.046576962,0.5724833
easy,low + high,>4 kHz,0.0015714699,0.5331265
hard,low,<300 Hz,0.0011008845,0.551673
hard,low,300-800 Hz,0.040460993,0.5515847
hard,low,0.8-2 kHz,0.014870136,0.5605687
hard,low,2-4 kHz,0.004160495,0.55957025
hard,low,>4 kHz,0.0012887685,0.5330408
hard,mid,<300 Hz,0.00039810844,0.55145895
hard,mid,300-800 Hz,0.0347189,0.549858
hard,mid,0.8-2 kHz,0.034174293,0.5664425
hard,mid,2-4 kHz,0.005406044,0.559947
hard,mid,>4 kHz,0.001308183,0.5330467
hard,high,<300 Hz,0.00025917045,0.5514168
hard,high,300-800 Hz,0.01754412,0.5447069
hard,high,0.8-2 kHz,0.046756994,0.57026345
hard,high,2-4 kHz,0.005244108,0.55989915
hard,high,>4 kHz,0.0013172706,0.53304946
hard,low + high,<300 Hz,0.00088117557,0.551606
hard,low + high,300-800 Hz,0.032229856,0.54911304
hard,low + high,0.8-2 kHz,0.037129544,0.5673384
hard,low + high,2-4 kHz,0.0049582967,0.5598116
hard,low + high,>4 kHz,0.0012901982,0.5330413
