model,example_index,class,prediction,band,gate
Independent,0,low,high,<250 Hz,0.56939787
Independent,0,low,high,250-500 Hz,0.55650806
Independent,0,low,high,500-750 Hz,0.8684971
Independent,0,low,high,750-1000 Hz,0.76383334
Independent,0,low,high,1-1.5 kHz,0.5874908
Independent,0,low,high,1.5-2.5 kHz,0.5949128
Independent,0,low,high,2.5-4 kHz,0.5705984
Independent,0,low,high,>4 kHz,0.6459937
Independent,1,mid,mid,<250 Hz,0.6479252
Independent,1,mid,mid,250-500 Hz,0.63813716
Independent,1,mid,mid,500-750 Hz,0.7045741
Independent,1,mid,mid,750-1000 Hz,0.6701669
Independent,1,mid,mid,1-1.5 kHz,0.55259246
Independent,1,mid,mid,1.5-2.5 kHz,0.5660689
Independent,1,mid,mid,2.5-4 kHz,0.6257592
Independent,1,mid,mid,>4 kHz,0.658084
Independent,2,low + high,low + high,<250 Hz,0.65402204
Independent,2,low + high,low + high,250-500 Hz,0.71891546
Independent,2,low + high,low + high,500-750 Hz,0.605612
Independent,2,low + high,low + high,750-1000 Hz,0.5655517
Independent,2,low + high,low + high,1-1.5 kHz,0.7348052
Independent,2,low + high,low + high,1.5-2.5 kHz,0.68831676
Independent,2,low + high,low + high,2.5-4 kHz,0.6693384
Independent,2,low + high,low + high,>4 kHz,0.5912812
Independent,3,high,low + high,<250 Hz,0.5762115
Independent,3,high,low + high,250-500 Hz,0.641815
Independent,3,high,low + high,500-750 Hz,0.56502867
Independent,3,high,low + high,750-1000 Hz,0.53923297
Independent,3,high,low + high,1-1.5 kHz,0.8583131
Independent,3,high,low + high,1.5-2.5 kHz,0.733105
Independent,3,high,low + high,2.5-4 kHz,0.5681684
Independent,3,high,low + high,>4 kHz,0.5739719
Independent,4,low,low,<250 Hz,0.6167422
Independent,4,low,low,250-500 Hz,0.82701904
Independent,4,low,low,500-750 Hz,0.6649146
Independent,4,low,low,750-1000 Hz,0.70619226
Independent,4,low,low,1-1.5 kHz,0.5738595
Independent,4,low,low,1.5-2.5 kHz,0.5576315
Independent,4,low,low,2.5-4 kHz,0.7184216
Independent,4,low,low,>4 kHz,0.5876851
Independent,5,low + high,low + high,<250 Hz,0.64331144
Independent,5,low + high,low + high,250-500 Hz,0.67865163
Independent,5,low + high,low + high,500-750 Hz,0.55323124
Independent,5,low + high,low + high,750-1000 Hz,0.55875975
Independent,5,low + high,low + high,1-1.5 kHz,0.7517035
Independent,5,low + high,low + high,1.5-2.5 kHz,0.65134495
Independent,5,low + high,low + high,2.5-4 kHz,0.6357951
Independent,5,low + high,low + high,>4 kHz,0.5940125
Independent,6,low,low,<250 Hz,0.6884392
Independent,6,low,low,250-500 Hz,0.71158797
Independent,6,low,low,500-750 Hz,0.7957456
Independent,6,low,low,750-1000 Hz,0.5902722
Independent,6,low,low,1-1.5 kHz,0.5561574
Independent,6,low,low,1.5-2.5 kHz,0.58653533
Independent,6,low,low,2.5-4 kHz,0.6830686
Independent,6,low,low,>4 kHz,0.6151923
Independent,7,high,mid,<250 Hz,0.58816975
Independent,7,high,mid,250-500 Hz,0.5563874
Independent,7,high,mid,500-750 Hz,0.559783
Independent,7,high,mid,750-1000 Hz,0.5974841
Independent,7,high,mid,1-1.5 kHz,0.71702904
Independent,7,high,mid,1.5-2.5 kHz,0.7075138
Independent,7,high,mid,2.5-4 kHz,0.5701074
Independent,7,high,mid,>4 kHz,0.8296928
Independent,8,mid,mid,<250 Hz,0.62115675
Independent,8,mid,mid,250-500 Hz,0.5702079
Independent,8,mid,mid,500-750 Hz,0.6875043
Independent,8,mid,mid,750-1000 Hz,0.63304424
Independent,8,mid,mid,1-1.5 kHz,0.5751438
Independent,8,mid,mid,1.5-2.5 kHz,0.5951914
Independent,8,mid,mid,2.5-4 kHz,0.5925721
Independent,8,mid,mid,>4 kHz,0.77982336
Independent,9,mid,mid,<250 Hz,0.59973854
Independent,9,mid,mid,250-500 Hz,0.5609671
Independent,9,mid,mid,500-750 Hz,0.6095759
Independent,9,mid,mid,750-1000 Hz,0.5583092
Independent,9,mid,mid,1-1.5 kHz,0.645777
Independent,9,mid,mid,1.5-2.5 kHz,0.68833876
Independent,9,mid,mid,2.5-4 kHz,0.57446337
Independent,9,mid,mid,>4 kHz,0.83949107
Independent,10,mid,mid,<250 Hz,0.6445576
Independent,10,mid,mid,250-500 Hz,0.60582876
Independent,10,mid,mid,500-750 Hz,0.5742677
Independent,10,mid,mid,750-1000 Hz,0.56580025
Independent,10,mid,mid,1-1.5 kHz,0.6245945
Independent,10,mid,mid,1.5-2.5 kHz,0.658877
Independent,10,mid,mid,2.5-4 kHz,0.6004585
Independent,10,mid,mid,>4 kHz,0.81969094
Independent,11,low + high,low,<250 Hz,0.81571156
Independent,11,low + high,low,250-500 Hz,0.87485224
Independent,11,low + high,low,500-750 Hz,0.57307553
Independent,11,low + high,low,750-1000 Hz,0.65047896
Independent,11,low + high,low,1-1.5 kHz,0.5839012
Independent,11,low + high,low,1.5-2.5 kHz,0.5583481
Independent,11,low + high,low,2.5-4 kHz,0.83538353
Independent,11,low + high,low,>4 kHz,0.6562035
Independent,12,high,low + high,<250 Hz,0.58190626
Independent,12,high,low + high,250-500 Hz,0.6345033
Independent,12,high,low + high,500-750 Hz,0.5618185
Independent,12,high,low + high,750-1000 Hz,0.5389439
Independent,12,high,low + high,1-1.5 kHz,0.8121991
Independent,12,high,low + high,1.5-2.5 kHz,0.7744734
Independent,12,high,low + high,2.5-4 kHz,0.58845574
Independent,12,high,low + high,>4 kHz,0.58406466
Independent,13,high,high,<250 Hz,0.5834095
Independent,13,high,high,250-500 Hz,0.5680025
Independent,13,high,high,500-750 Hz,0.84895796
Independent,13,high,high,750-1000 Hz,0.5943258
Independent,13,high,high,1-1.5 kHz,0.62449086
Independent,13,high,high,1.5-2.5 kHz,0.6629756
Independent,13,high,high,2.5-4 kHz,0.57353616
Independent,13,high,high,>4 kHz,0.75094795
Independent,14,mid,mid,<250 Hz,0.6564278
Independent,14,mid,mid,250-500 Hz,0.56909454
Independent,14,mid,mid,500-750 Hz,0.60851985
Independent,14,mid,mid,750-1000 Hz,0.66866356
Independent,14,mid,mid,1-1.5 kHz,0.5900202
Independent,14,mid,mid,1.5-2.5 kHz,0.60784185
Independent,14,mid,mid,2.5-4 kHz,0.6106389
Independent,14,mid,mid,>4 kHz,0.78672695
Independent,15,mid,mid,<250 Hz,0.6168285
Independent,15,mid,mid,250-500 Hz,0.5946788
Independent,15,mid,mid,500-750 Hz,0.7089532
Independent,15,mid,mid,750-1000 Hz,0.6459848
Independent,15,mid,mid,1-1.5 kHz,0.5538846
Independent,15,mid,mid,1.5-2.5 kHz,0.5696156
Independent,15,mid,mid,2.5-4 kHz,0.6068356
Independent,15,mid,mid,>4 kHz,0.75808066
Independent,16,mid,mid,<250 Hz,0.57188314
Independent,16,mid,mid,250-500 Hz,0.55846936
Independent,16,mid,mid,500-750 Hz,0.7444283
Independent,16,mid,mid,750-1000 Hz,0.7270705
Independent,16,mid,mid,1-1.5 kHz,0.54177797
Independent,16,mid,mid,1.5-2.5 kHz,0.5715878
Independent,16,mid,mid,2.5-4 kHz,0.56877184
Independent,16,mid,mid,>4 kHz,0.7212041
Independent,17,mid,mid,<250 Hz,0.5842326
Independent,17,mid,mid,250-500 Hz,0.5579445
Independent,17,mid,mid,500-750 Hz,0.67903334
Independent,17,mid,mid,750-1000 Hz,0.68592924
Independent,17,mid,mid,1-1.5 kHz,0.5348838
Independent,17,mid,mid,1.5-2.5 kHz,0.5588867
Independent,17,mid,mid,2.5-4 kHz,0.57366157
Independent,17,mid,mid,>4 kHz,0.7113364
Independent,18,low,low,<250 Hz,0.68236953
Independent,18,low,low,250-500 Hz,0.741955
Independent,18,low,low,500-750 Hz,0.775739
Independent,18,low,low,750-1000 Hz,0.59539026
Independent,18,low,low,1-1.5 kHz,0.56402665
Independent,18,low,low,1.5-2.5 kHz,0.5798571
Independent,18,low,low,2.5-4 kHz,0.7014465
Independent,18,low,low,>4 kHz,0.59963745
Independent,19,low,low,<250 Hz,0.6967572
Independent,19,low,low,250-500 Hz,0.707163
Independent,19,low,low,500-750 Hz,0.58364546
Independent,19,low,low,750-1000 Hz,0.6954509
Independent,19,low,low,1-1.5 kHz,0.5591671
Independent,19,low,low,1.5-2.5 kHz,0.5659635
Independent,19,low,low,2.5-4 kHz,0.68446827
Independent,19,low,low,>4 kHz,0.6261839
Independent,20,low + high,low,<250 Hz,0.78189564
Independent,20,low + high,low,250-500 Hz,0.83961856
Independent,20,low + high,low,500-750 Hz,0.5678865
Independent,20,low + high,low,750-1000 Hz,0.6244439
Independent,20,low + high,low,1-1.5 kHz,0.5687917
Independent,20,low + high,low,1.5-2.5 kHz,0.5555731
Independent,20,low + high,low,2.5-4 kHz,0.7957677
Independent,20,low + high,low,>4 kHz,0.6381031
Independent,21,high,mid,<250 Hz,0.5704159
Independent,21,high,mid,250-500 Hz,0.56470984
Independent,21,high,mid,500-750 Hz,0.7713463
Independent,21,high,mid,750-1000 Hz,0.57782555
Independent,21,high,mid,1-1.5 kHz,0.53563327
Independent,21,high,mid,1.5-2.5 kHz,0.56054515
Independent,21,high,mid,2.5-4 kHz,0.56447494
Independent,21,high,mid,>4 kHz,0.7963267
Independent,22,low + high,high,<250 Hz,0.57331926
Independent,22,low + high,high,250-500 Hz,0.5942094
Independent,22,low + high,high,500-750 Hz,0.6028852
Independent,22,low + high,high,750-1000 Hz,0.53863496
Independent,22,low + high,high,1-1.5 kHz,0.756146
Independent,22,low + high,high,1.5-2.5 kHz,0.845833
Independent,22,low + high,high,2.5-4 kHz,0.56565815
Independent,22,low + high,high,>4 kHz,0.5942352
Independent,23,low + high,low + high,<250 Hz,0.74891216
Independent,23,low + high,low + high,250-500 Hz,0.82542956
Independent,23,low + high,low + high,500-750 Hz,0.56114393
Independent,23,low + high,low + high,750-1000 Hz,0.6018929
Independent,23,low + high,low + high,1-1.5 kHz,0.6855437
Independent,23,low + high,low + high,1.5-2.5 kHz,0.60365754
Independent,23,low + high,low + high,2.5-4 kHz,0.77398896
Independent,23,low + high,low + high,>4 kHz,0.60723746
Independent,24,mid,low + high,<250 Hz,0.73388326
Independent,24,mid,low + high,250-500 Hz,0.784035
Independent,24,mid,low + high,500-750 Hz,0.5685042
Independent,24,mid,low + high,750-1000 Hz,0.6055537
Independent,24,mid,low + high,1-1.5 kHz,0.60589075
Independent,24,mid,low + high,1.5-2.5 kHz,0.6191336
Independent,24,mid,low + high,2.5-4 kHz,0.74494547
Independent,24,mid,low + high,>4 kHz,0.7393493
Independent,25,low,low,<250 Hz,0.7921679
Independent,25,low,low,250-500 Hz,0.8766335
Independent,25,low,low,500-750 Hz,0.5655547
