frequency_hz,band_index,band_label,energy,energy_relative_db,gate,activation_rms,activation_relative_db
50.0,0,<250 Hz,0.4801614284515381,-0.19714286923408508,0.6380862593650818,0.28263819217681885,-3.5898985862731934
50.0,1,250-500 Hz,0.0002160595468012616,-33.665279388427734,0.6286553144454956,0.09662485867738724,-12.912738800048828
50.0,2,500-750 Hz,9.454348401050083e-06,-47.25469970703125,0.5396089553833008,0.031633660197257996,-22.611526489257812
50.0,3,750-1000 Hz,5.5353957577608526e-06,-49.57952880859375,0.6275707483291626,0.06981910765171051,-15.735030174255371
50.0,4,1-1.5 kHz,6.624918114539469e-06,-48.79920959472656,0.6208561658859253,0.09437333047389984,-13.117530822753906
50.0,5,1.5-2.5 kHz,6.274686711549293e-06,-49.03509521484375,0.5760230422019958,0.02675105631351471,-24.067697525024414
50.0,6,2.5-4 kHz,4.12422014051117e-06,-50.85759735107422,0.5410608053207397,0.01120590977370739,-31.625574111938477
50.0,7,>4 kHz,4.885070666205138e-06,-50.12230682373047,0.526366114616394,0.028227820992469788,-23.600969314575195
75.0,0,<250 Hz,0.45606303215026855,-0.42076683044433594,0.6341277360916138,0.2728372812271118,-3.8964409828186035
75.0,1,250-500 Hz,0.0009817065438255668,-27.091197967529297,0.628932535648346,0.09760831296443939,-12.824779510498047
75.0,2,500-750 Hz,9.79283322521951e-06,-47.101932525634766,0.5396089553833008,0.03163427114486694,-22.611358642578125
75.0,3,750-1000 Hz,8.309040822496172e-06,-47.81550979614258,0.6275715827941895,0.06982320547103882,-15.734519958496094
75.0,4,1-1.5 kHz,7.137437933124602e-06,-48.475589752197266,0.6208563446998596,0.09437397867441177,-13.117470741271973
75.0,5,1.5-2.5 kHz,6.5693002397893e-06,-48.8358268737793,0.5760231018066406,0.026751719415187836,-24.067480087280273
75.0,6,2.5-4 kHz,4.675323907576967e-06,-50.31290054321289,0.5410610437393188,0.011208068579435349,-31.623899459838867
75.0,7,>4 kHz,4.9664167818264104e-06,-50.05058288574219,0.526366114616394,0.028227971866726875,-23.600921630859375
100.0,0,<250 Hz,0.422781765460968,-0.7498529553413391,0.6285209059715271,0.2591361701488495,-4.343954563140869
100.0,1,250-500 Hz,0.0031324801966547966,-22.052133560180664,0.6297097206115723,0.10032835602760315,-12.586041450500488
100.0,2,500-750 Hz,1.0495212336536497e-05,-46.80110549926758,0.5396091938018799,0.03163554519414902,-22.611007690429688
100.0,3,750-1000 Hz,1.3218515960033983e-05,-45.79918670654297,0.6275733113288879,0.06983046233654022,-15.733617782592773
100.0,4,1-1.5 kHz,8.104972948785871e-06,-47.923500061035156,0.6208567023277283,0.09437523037195206,-13.117355346679688
100.0,5,1.5-2.5 kHz,7.096237823134288e-06,-48.500732421875,0.576023280620575,0.026752905920147896,-24.067096710205078
100.0,6,2.5-4 kHz,5.644996235787403e-06,-49.494380950927734,0.541061282157898,0.011211865581572056,-31.62095832824707
100.0,7,>4 kHz,5.1091660679958295e-06,-49.92751693725586,0.5263661742210388,0.028228238224983215,-23.600841522216797
125.0,0,<250 Hz,0.38123461604118347,-1.1990923881530762,0.621283769607544,0.24173502624034882,-4.947723865509033
125.0,1,250-500 Hz,0.007865066640079021,-18.053991317749023,0.6314115524291992,0.10611240565776825,-12.099191665649414
125.0,2,500-750 Hz,1.1944551260967273e-05,-46.23931884765625,0.5396096706390381,0.03163817152380943,-22.610286712646484
125.0,3,750-1000 Hz,1.879133196780458e-05,-44.27143859863281,0.6275752186775208,0.06983870267868042,-15.732592582702637
125.0,4,1-1.5 kHz,9.338071322417818e-06,-47.30844497680664,0.6208571791648865,0.0943768098950386,-13.117209434509277
125.0,5,1.5-2.5 kHz,7.715472747804597e-06,-48.13739013671875,0.5760234594345093,0.02675429731607437,-24.06664276123047
125.0,6,2.5-4 kHz,6.706599833705695e-06,-48.74599075317383,0.5410616397857666,0.011216022074222565,-31.617738723754883
125.0,7,>4 kHz,5.268631866783835e-06,-49.794036865234375,0.5263662338256836,0.028228536248207092,-23.60074806213379
150.0,0,<250 Hz,0.33305594325065613,-1.7858436107635498,0.6125425100326538,0.22108198702335358,-5.723447799682617
150.0,1,250-500 Hz,0.01672292873263359,-14.777891159057617,0.6345667839050293,0.1163150817155838,-11.30179500579834
150.0,2,500-750 Hz,1.438243816664908e-05,-45.43269348144531,0.5396104454994202,0.03164258971810341,-22.60907745361328
150.0,3,750-1000 Hz,2.2558124328497797e-05,-43.47798156738281,0.627576470375061,0.06984426081180573,-15.731901168823242
